post_id,id,title,metadata,textto,genres,release date,year,image,quality,url
post-61456,61456,Viraata Parvam (2022) HQ Hindi Dubbed,IMDb: 8.8|2022|150 min|28196 views,Please USE VPN to Download or SINGUP 1080P [Gadrive] 5.96GB 1080P [Gadrive] 5.96GB [2] 720P [Gadrive] 1.91GB 480P [Gadrive] 709MB Download Link 1 ...,Action|Drama|Hindi Dubbed|Romance,"Jun. 17, 2022",2022,https://htekclub.com/images/2022/07/08/beJaflz5NIxRzlklRD2QL4f9l0n2.jpg,HQ Hindi,https://hdmovie2.guru/movies/viraata-parvam-2022-hindi-dubbed/
post-63308,63308,Apocalypse (2021) Hindi Dubbed,2022|29529 views,Please USE VPN to Download or SINGUP 1080P [Gadrive] 1.29GB 1080P [Gadrive] 1.29GB [2] 720P [Gadrive] 615MB 480P [Gadrive] 388MB Download Link 1 ...,Hindi Dubbed|India|NETFLIX,"Jul. 08, 2022",2022,https://htekclub.com/images/2022/07/08/W4AqO_4f.jpg,Hindi Dubbed,https://hdmovie2.guru/movies/apocalypse-2021-hindi-dubbed/
post-63307,63307,Refugee (2022) Hindi Season 1 Complete,2022|6634 views,Please USE VPN to Download or SINGUP 1080P [Gadrive] 3.58GB 1080P [Gadrive] 3.58GB [2] 720P [Gadrive] 1.67GB 480P [Gadrive] 713MB Download Link 1 ...,Bollywood|India|TV Movie|TV- Show|TV-Series,"Jul. 08, 2022",2022,https://image.tmdb.org/t/p/w185/qNqMaX1AoqNjTGTzIo5HEj2Vcka.jpg,Hindi Tv Series,https://hdmovie2.guru/movies/refugee-2022-hindi-season-1-complete/
post-71763,71763,Lavanderia Nancy Sport (2022) Unofficial Hindi Dubbed,2022|80 min|767 views,"Lavanderia Nancy Sport (2022) Hindi Dubbed Watch online Movies Free Download, Please USE VPN to Download or SINGUP 720P [Gadrive] 672MB An ice ...",Comedy|Unofficial Hindi Dubbed,"Apr. 26, 2022",2022,https://htekclub.com/images/2022/09/08/siOcUTSJde3ojpNhuQKRMzQuZJM.jpg,Unofficial Dubbed,https://hdmovie2.guru/movies/lavanderia-nancy-sport-2022-hindi-dubbed/
post-71764,71764,Life Ain’t Like the Movies (2021) Unofficial Hindi Dubbed,IMDb: 9|2021|85 min|334 views,"Life Ain’t Like the Movies (2021) Hindi Dubbed Watch online Movies Free Download, Please USE VPN to Download or SINGUP 720P [Gadrive] 690MB ...",Drama|Unofficial Hindi Dubbed,"Dec. 12, 2021",2021,https://htekclub.com/images/2022/09/08/siOcUTSJde3ojpNhuQKRMzQuZJM1.jpg,Unofficial Dubbed,https://hdmovie2.guru/movies/life-aint-like-the-movies-2021-hindi-dubbed/
post-71765,71765,Mindorokke (2022) Unofficial Hindi Dubbed,IMDb: 5.7|2022|77 min|415 views,"Mindorokke (2022) Hindi Dubbed Watch online Movies Free Download, Please USE VPN to Download or SINGUP 720P [Gadrive] 638MB Based on the ...",Drama|Romance|Science Fiction|Unofficial Hindi Dubbed,"Feb. 22, 2022",2022,https://htekclub.com/images/2022/09/08/siOcUTSJde3ojpNhuQKRMzQuZJM2.jpg,Unofficial Dubbed,https://hdmovie2.guru/movies/mindorokke-2022-hindi-dubbed/
post-71766,71766,Nobodys Angel (2022) Unofficial Hindi Dubbed,2022|674 views,"Nobodys Angel (2022) Hindi Dubbed Watch online Movies Free Download, Please USE VPN to Download or SINGUP 720P [Gadrive] 878MB An intense ...",Thriller|Unofficial Hindi Dubbed,"Sep. 08, 2022",2022,https://htekclub.com/images/2022/09/08/siOcUTSJde3ojpNhuQKRMzQuZJM3.jpg,Unofficial Dubbed,https://hdmovie2.guru/movies/nobodys-angel-2022-hindi-dubbed/
post-71767,71767,Not Okay (2022) Unofficial Hindi Dubbed,IMDb: 6|2022|100 min|1282 views,"Not Okay (2022) Hindi Dubbed Watch online Movies Free Download, Please USE VPN to Download or SINGUP 720P [Gadrive] 820MB An ambitious young ...",Comedy|Drama|Unofficial Hindi Dubbed,"Jul. 29, 2022",2022,https://htekclub.com/images/2022/09/08/siOcUTSJde3ojpNhuQKRMzQuZJM4.jpg,Unofficial Dubbed,https://hdmovie2.guru/movies/not-okay-2022-hindi-dubbed/
post-71768,71768,The Ghost and the Tout Too (2021) Unofficial Hindi Dubbed,IMDb: 6.2|2021|345 views,"The Ghost and the Tout Too (2021) Hindi Dubbed Watch online Movies Free Download, Please USE VPN to Download or SINGUP 720P [Gadrive] 893MB A ...",Comedy|Unofficial Hindi Dubbed,"Dec. 01, 2021",2021,https://htekclub.com/images/2022/09/08/siOcUTSJde3ojpNhuQKRMzQuZJM5.jpg,Unofficial Dubbed,https://hdmovie2.guru/movies/the-ghost-and-the-tout-too-2021-hindi-dubbed/
post-66703,66703,Debbie and the Devil (2021) Unofficial Hindi Dubbed,IMDb: 6.7|2021|87 min|560 views,Please USE VPN to Download or SINGUP 720P [Gadrive] 894MB Download Link 1 Download Link 2 Download Link 3 Download Link 4 Download Link 5 ...,Comedy|Horror|Thriller|Unofficial Hindi Dubbed,"Dec. 17, 2021",2021,https://htekclub.com/images/2022/07/17/mGXWYbpakk8uX8OkW1ihPjVzapB4.jpg,UN Hindi Dubbed,https://hdmovie2.guru/movies/debbie-and-the-devil-2021-hindi-dubbed/
post-66692,66692,Stolen in Her Sleep (2022) Unofficial Hindi Dubbed,IMDb: 6.3|2022|85 min|840 views,Please USE VPN to Download or SINGUP 720P [Gadrive] 915MB Download Link 1 Download Link 2 Download Link 3 Download Link 4 Download Link 5 ...,Mystery|Thriller|TV Movie|Unofficial Hindi Dubbed,"Apr. 25, 2022",2022,https://htekclub.com/images/2022/07/17/mGXWYbpakk8uX8OkW1ihPjVzapB3.jpg,UN Hindi Dubbed,https://hdmovie2.guru/movies/stolen-in-her-sleep-2022-hindi-dubbed/
post-66687,66687,X-Deal 2 (2022) Unofficial Hindi Dubbed,IMDb: 6.4|2022|110 min|43668 views,Please USE VPN to Download or SINGUP 720P [Gadrive] 1.1GB Download Link 1 Download Link 2 Download Link 3 Download Link 4 Download Link 6 In an ...,Drama|Unofficial Hindi Dubbed,"Mar. 25, 2022",2022,https://htekclub.com/images/2022/07/17/mGXWYbpakk8uX8OkW1ihPjVzapB2.jpg,UN Hindi Dubbed,https://hdmovie2.guru/movies/x-deal-2-2022-hindi-dubbed/
post-66679,66679,Color My World with Love (2022) Unofficial Hindi Dubbed,IMDb: 7.5|2022|84 min|361 views,Please USE VPN to Download or SINGUP 720P [Gadrive] 872 Download Link 1 Download Link 2 Download Link 3 Download Link 4 Download Link 6 ...,Drama|Romance|TV Movie|Unofficial Hindi Dubbed,"Jun. 12, 2022",2022,https://htekclub.com/images/2022/07/17/mGXWYbpakk8uX8OkW1ihPjVzapB1.jpg,UN Hindi Dubbed,https://hdmovie2.guru/movies/color-my-world-with-love-2022-hindi-dubbed/
post-66676,66676,King Tweety (2022) Unofficial Hindi Dubbed,IMDb: 5.4|2022|72 min|2290 views,Please USE VPN to Download or SINGUP 720P [Gadrive] 845MB Download Link 1 Download Link 2 Download Link 3 Download Link 4 Download Link 5 ...,Animation|Comedy|Family|Unofficial Hindi Dubbed,"Jun. 13, 2022",2022,https://htekclub.com/images/2022/07/17/mGXWYbpakk8uX8OkW1ihPjVzapB.jpg,UN Hindi Dubbed,https://hdmovie2.guru/movies/king-tweety-2022-hindi-dubbed/
post-48653,48653,Mere Desh Ki Dharti (2022) Hindi HD AMZN,IMDb: 8.1|2022|111 min|75225 views,Please USE VPN to Download or SINGUP 720P [Gadrive] 1.05GB 720P [Gadrive] 4.38GB 480P [Gadrive] 322MB Download Link 1 Download Link 2 Download ...,Bollywood|Comedy|Drama|India,"May. 06, 2022",2022,https://image.tmdb.org/t/p/w185/53VStqbu6cS6HlfswFsSe4WMOm1.jpg,Hindi HD,https://hdmovie2.guru/movies/mere-desh-ki-dharti-2022-hindi/
post-63181,63181,The Longest Night (2022) Hindi Season 1 Complete Netflix,2022|16568 views,Please USE VPN to Download or SINGUP 720P [Gadrive] 1.93GB Download Link 1 Download Link 2 Download Link 3 Download Link 4 Download Link 5 ...,Action|Crime|Drama|NETFLIX|TV-Series,"Jul. 08, 2022",2022,https://htekclub.com/images/2022/07/08/ff-min.jpg,Hindi Tv Series,https://hdmovie2.guru/movies/the-longest-night-2022-hindi-season-1-complete-netflix/
post-63177,63177,Boo Bitch (2022) Hindi Season 1 Complete Netflix,2022|9072 views,Please USE VPN to Download or SINGUP 720P [Gadrive] 1.69GB Download Link 1 Download Link 2 Download Link 3 Download Link 4 Download Link 5 ...,Comedy|NETFLIX|TV-Series,"Jul. 08, 2022",2022,https://image.tmdb.org/t/p/w185/b3zagQAHUUePg29xjp9SYoxtsv7.jpg,Hindi Tv Series,https://hdmovie2.guru/movies/boo-bitch-2022-hindi-season-1-complete-netflix/
