Auto_id,post_id,eps,title,metadata,genres,year,image,quality,movie_type,url
2040,31520,8,The Durrells – Season 3,TMDb: 7.4|2018|46 min,Comedy|Drama,2018,https://image.tmdb.org/t/p/w185/sgZiuQ9PMeyHU7xMaIctwRu4SLa.jpg,,series,https://yomovies.date/series/the-durrells-season-3/
2039,31528,4,The Woman in White – Season 1,IMDb: N/A|2018|60 min,Drama|Mystery,2018,https://image.tmdb.org/t/p/w185/fra8kaDIpWYdsQrwyctqHWetIWx.jpg,,series,https://yomovies.date/series/the-woman-in-white-season-1/
2038,31539,8,Trust – Season 1,TMDb: 7.9|2018|42 min,Crime|Documentary|Drama,2018,https://image.tmdb.org/t/p/w185/5refQIjaOyBPuQqmrBp0C9TXPS6.jpg,,series,https://yomovies.date/series/trust-season-1/
2037,31560,7,The Detail – Season 1,TMDb: 8|2018|40 min,Crime|Drama,2018,https://image.tmdb.org/t/p/w185/6CqtbSzw6rXs921aMLvAGbz4lAQ.jpg,,series,https://yomovies.date/series/the-detail-season-1/
2036,31652,7,One Strange Rock – Season 1,TMDb: 8.3|2018|47 min,Documentary,2018,https://image.tmdb.org/t/p/w185/bLtoGQM3WhVFKtTk1h8w0lGH1n7.jpg,,series,https://yomovies.date/series/one-strange-rock-season-1/
2035,31736,10,Altered Carbon – Season 1,TMDb: 7.9|2018|60 min,Crime|Fantasy|Mystery|Sci-fi|Sci-Fi & Fantasy|Science Fiction,2018,https://image.tmdb.org/t/p/w185/pZg2NUDPJA54AmDs1Y1ZLizBrpd.jpg,,series,https://yomovies.date/series/altered-carbon-season-1/
2034,31855,10,The Handmaid’s Tale – Season 1,TMDb: 8|2017|50 min,Fantasy|Sci-fi|Sci-Fi & Fantasy|Science Fiction,2017,https://image.tmdb.org/t/p/w600_and_h900_bestv2/9dNPOWMU1saJ3IPs6siguB6J7jv.jpg,,series,https://yomovies.date/series/the-handmaids-tale-season-1/
2033,31860,13,The Handmaid’s Tale – Season 2,TMDb: 8|2018|50 min,Drama|Fantasy|Sci-fi|Sci-Fi & Fantasy|Science Fiction,2018,https://image.tmdb.org/t/p/w185/1ryCwZaZFAlG0c1w8XiMHeAxxYy.jpg,,series,https://yomovies.date/series/the-handmaids-tale-season-2/
2032,31953,21,Dave the Barbarian – Season 1,TMDb: 7.3|2004|22 min,Animation|Comedy|Sci-Fi & Fantasy,2004,https://image.tmdb.org/t/p/w185/ipzGJybXsUyqP78Wn6zC1XXbyRy.jpg,,series,https://yomovies.date/series/dave-the-barbarian-season-1/
2031,32004,14,Mother (Korea Drama) – Season 1,TMDb: 8.4|2018|62 min,Drama|Korean,2018,https://image.tmdb.org/t/p/w185/i6QSKIP54bxHObRdXXbBZFv9UPv.jpg,,series,https://yomovies.date/series/mother-korea-drama-season-1/
2030,32041,34,Return (2018) – Season 1,TMDb: 5.1|2018|35 min,Drama|Korean|Mystery,2018,https://image.tmdb.org/t/p/w185/5K9mZidXLjgoqcRgRIfX48GeHWK.jpg,,series,https://yomovies.date/series/return-2018-season-1/
2029,32129,8,Safe – Season 1,TMDb: 9|2018|45 min,Crime|Drama,2018,https://image.tmdb.org/t/p/w185/hxONwCHsZdGcElLmZHSM5yA7tXH.jpg,,series,https://yomovies.date/series/safe-season-1/
2028,32131,4,Innocent – Season 1,IMDb: N/A|2018|45 min,Crime|Drama|Mystery,2018,https://image.tmdb.org/t/p/w185/5ggCQRHwyVtgRppzRRop3cPEL3o.jpg,,series,https://yomovies.date/series/innocent-season-1/
2027,32281,5,Patrick Melrose – Season 1,TMDb: 10|2018|N/A,Comedy|Drama,2018,https://image.tmdb.org/t/p/w600_and_h900_bestv2/t6ubZ1Bpu0elTzA8tT2mxkrfpxA.jpg,,series,https://yomovies.date/series/patrick-melrose-season-1/
2026,33844,8,Archer – Season 9,TMDb: 7.9|2018|22 min,Action|Adventure|Animation|Comedy|Drama,2018,https://image.tmdb.org/t/p/w185/eXu3OQ1tRgiKsiKMifvNdwwwTQc.jpg,,series,https://yomovies.date/series/archer-season-9/
2025,33858,12,Homeland – Season 7,"TMDb: 7.3|2018|55,45,60,50 min",Crime|Drama,2018,https://image.tmdb.org/t/p/w185/lT8o38ubu9uzcjZbkDtwsVizDeQ.jpg,,series,https://yomovies.date/series/homeland-season-7/
2024,33870,10,Krypton – Season 1,TMDb: 6.9|2018|45 min,Action|Adventure|Fantasy|Sci-fi|Sci-Fi & Fantasy|Science Fiction,2018,https://image.tmdb.org/t/p/w185/kMMWb4zIZKBnO3lOpVBXCL1BeNI.jpg,,series,https://yomovies.date/series/krypton-season-1/
2023,34167,13,Life on Top – Season 2,TMDb: 7.8|2009|N/A,Comedy|Drama|Hollywood,2009,https://m.media-amazon.com/images/M/MV5BM2Y1Y2E4N2EtNjQ0NS00MTQxLWI0MDgtZjZlM2RlMjFiMDQ2XkEyXkFqcGdeQXVyNDMzNzgzNzk@._V1_FMjpg_UX680_.jpg,18+,series,https://yomovies.date/series/life-on-top-season-2/
2022,35896,13,The 100 – Season 1,TMDb: 7.7|2014|43 min,Action|Adventure|Drama|Fantasy|Science Fiction,2014,https://image.tmdb.org/t/p/w185/wcaDIAG1QdXQLRaj4vC1EFdBT2.jpg,,series,https://yomovies.date/series/the-100-season-1/
2021,35915,16,The 100 – Season 2,TMDb: 7.9|20142015|43 min,Action|Adventure|Drama|Sci-Fi & Fantasy,2014|2015,https://image.tmdb.org/t/p/w185/wcaDIAG1QdXQLRaj4vC1EFdBT2.jpg,,series,https://yomovies.date/series/the-100-season-2/
2020,35935,16,The 100 – Season 3,TMDb: 6.4|2016|43 min,Drama|Fantasy|Mystery|Sci-fi|Sci-Fi & Fantasy,2016,https://image.tmdb.org/t/p/w600_and_h900_bestv2/wHIMMLFsk32wIzDmawWkYVbxFCS.jpg,,series,https://yomovies.date/series/the-100-season-3/
2019,36401,8,Humans – Season 3,"TMDb: 7.5|20152018|46,42 min",Drama|Mystery|Sci-Fi & Fantasy,2015|2018,https://image.tmdb.org/t/p/w185/iBjjSGgnjAQBSQGO9pYIh7Gp2PO.jpg,,series,https://yomovies.date/series/humans-season-3/
2018,36734,10,Face Off – Season 13,TMDb: 7.3|2018|40 min,Drama|Reality,2018,https://image.tmdb.org/t/p/w185/eR0XUlVORVbWoTX4wpxIcxCNRQk.jpg,,series,https://yomovies.date/series/face-off-season-13/
2017,36754,26,Are You Human Too?,TMDb: 7|2018|30 min,Drama|Mystery|Romance|Sci-Fi & Fantasy,2018,https://image.tmdb.org/t/p/w185/zqbDRVbYQo0STbznDND1F9DmKM2.jpg,,series,https://yomovies.date/series/are-you-human-too/
2016,36775,6,Wild Wild Country – Season 1,TMDb: 8|2018|67 min,Crime|Documentary|Drama,2018,https://image.tmdb.org/t/p/w185/kprB5Jj2LYQAYlqVQMEucT2vGt.jpg,,series,https://yomovies.date/series/wild-wild-country-season-1/
2015,31590,16,Last Week Tonight With John Oliver – Season 5,TMDb: 8|2018|30 min,Comedy|Drama,2018,https://image.tmdb.org/t/p/w185/oyDSQz4tGMrDoBC5Q8wzFTdMo27.jpg,,series,https://yomovies.date/series/last-week-tonight-with-john-oliver-season-5/
2014,37924,8,Queer Eye – Season 2,TMDb: 7.9|2018|50 min,Drama|Reality,2018,https://image.tmdb.org/t/p/w185/9x2loam4P2YbDsjqIrzVeBgVMaP.jpg,,series,https://yomovies.date/series/queer-eye-season-2/
