Auto id,post_id,title,metadata,genres,year,image,quality,url
1,91455,Fifty Shades of Grey (2015) Hindi Dubbed,IMDb: 4.1|2015|125 min,Drama|Dual Audio|Erotic Movies|Romance|Thriller,2015,"https://m.media-amazon.com/images/M/MV5BMTYxMTA0ODI5M15BMl5BanBnXkFtZTgwMzU3MTMxNDE@._V1_QL50_SY1000_CR0,0,631,1000_AL_.jpg",HINDI,https://yomovies.date/fifty-shades-of-grey-2015-hindi-dubbed-Watch-online-full-movie/
2,45952,The Mortal Instruments: City of Bones (2013) Hindi Dubbed,IMDb: 5.9|2013|130 min,Action|Adventure|Dual Audio|Fantasy|Horror|Mystery|Romance,2013,https://m.media-amazon.com/images/M/MV5BMTc5NzAyOTQyNF5BMl5BanBnXkFtZTcwNzQ1MDc4OQ@@._V1_FMjpg_UY576_.jpg,HINDI,https://yomovies.date/the-mortal-instruments-city-of-bones-2013-hindi-dubbed-Watch-online-full-movie/
3,103779,Surrogates (2009) Hindi Dubbed,IMDb: 6.3|2009|89 min,Action|Dual Audio|Science Fiction|Thriller,2009,https://m.media-amazon.com/images/M/MV5BN2FiZTdjY2YtMzg2YS00ODEyLTg3NWQtZmVhZDg1YzE0OTJjXkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_FMjpg_UX540_.jpg,HINDI,https://yomovies.date/surrogates-2009-hindi-dubbed-Watch-online-full-movie/
4,44948,Hero (2002) Hindi Dubbed,IMDb: 7.9|2002|120 min,Action|Adventure|Drama|Dual Audio|History,2002,https://m.media-amazon.com/images/M/MV5BMWQ2MjQ0OTctMWE1OC00NjZjLTk3ZDAtNTk3NTZiYWMxYTlmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX509_.jpg,HINDI,https://yomovies.date/hero-2002-hindi-dubbed-Watch-online-full-movie/
5,49832,Devil (2010) Hindi Dubbed,IMDb: 6.2|2010|80 min,Dual Audio|Horror|Mystery|Thriller,2010,https://m.media-amazon.com/images/M/MV5BZDVmZGExMTEtNjk5OS00MTFkLWI0ZDMtNzg4YWFmNGY3NjRkXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_FMjpg_UX710_.jpg,HINDI,https://yomovies.date/devil-2010-hindi-dubbed-Watch-online-full-movie/
6,16154,The Secret Life of Pets (2016) Hindi Dubbed,IMDb: 6.5|2016|87 min,Adventure|Animation|Comedy|Dual Audio|Family,2016,https://m.media-amazon.com/images/M/MV5BMjIzMzA1OTkzNV5BMl5BanBnXkFtZTgwODE3MjM4NzE@._V1_FMjpg_UX480_.jpg,HINDI,https://yomovies.date/the-secret-life-of-pets-2016-hindi-dubbed-Watch-online-full-movie/
7,58992,The Lion King (1994) Hindi Dubbed,IMDb: 8.5|1994|88 min,Adventure|Animation|Comedy|Drama|Dual Audio|Family,1994,https://m.media-amazon.com/images/M/MV5BODgxYmZkMDgtNGYyMS00ZWRhLWFmYzItNjFiODg0Yzk5YjNmXkEyXkFqcGdeQXVyNjU3NDQ1NzA@._V1_.jpg,HINDI,https://yomovies.date/the-lion-king-1994-hindi-dubbed-Watch-online-full-movie/
8,42852,Dawn of the Planet of the Apes (2014) Hindi Dubbed,IMDb: 7.6|2014|130 min,Action|Adventure|Drama|Dual Audio|Sci-fi|Science Fiction|Thriller,2014,https://m.media-amazon.com/images/M/MV5BMTgwODk3NDc1N15BMl5BanBnXkFtZTgwNTc1NjQwMjE@._V1_QL50_SY1000_SX675_AL_.jpg,HINDI,https://yomovies.date/dawn-of-the-planet-of-the-apes-2014-hindi-dubbed-Watch-online-full-movie/
9,156994,Life of Pi (2012) Hindi Dubbed,IMDb: 7.9|2012|127 min,Action|Adventure|Drama|Dual Audio|Fantasy,2012,https://m.media-amazon.com/images/M/MV5BNTg2OTY2ODg5OF5BMl5BanBnXkFtZTcwODM5MTYxOA@@._V1_QL50_.jpg,HINDI,https://yomovies.date/life-of-pi-2012-hindi-dubbed-Watch-online-full-movie/
10,62924,Man of Steel (2013) Hindi Dubbed,IMDb: 7.0|2013|143 min,Action|Adventure|Dual Audio|Fantasy|Science Fiction,2013,https://m.media-amazon.com/images/M/MV5BMTk5ODk1NDkxMF5BMl5BanBnXkFtZTcwNTA5OTY0OQ@@._V1_FMjpg_UX680_.jpg,HINDI,https://yomovies.date/man-of-steel-2013-hindi-dubbed-Watch-online-full-movie/
11,63130,The Mechanic (2011) Hindi Dubbed,IMDb: 6.6|2011|93 min,Action|Crime|Drama|Dual Audio|Thriller,2011,https://m.media-amazon.com/images/M/MV5BYmRjNzU0OWItOGJmOC00MDkxLTk5NDAtM2FiNzJhNDEyNGI3XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UY960_.jpg,HINDI,https://yomovies.date/the-mechanic-2011-hindi-dubbed-Watch-online-full-movie/
