post_id,title,metadata,genres,year,image,quality,url
7522,Wagah (2016) Hindi Dubbed,IMDb: 3.4|2016|122 min,Action|Crime|Dual Audio|Romance|South Special,2016,https://images-na.ssl-images-amazon.com/images/I/713H57zKVQL._RI_.jpg,HINDI,https://yomovies.date/wagah-2016-hindi-dubbed-Watch-online-full-movie/
7501,Orange (2010) Hindi Dubbed,IMDb: 6.6|2010|162 min,Comedy|Drama|Dual Audio|Romance|South Special,2010,https://m.media-amazon.com/images/M/MV5BM2ZkZGIwZDAtNGU1ZS00NTlkLThjYjYtMjU5MzQzNDQyMTBmXkEyXkFqcGdeQXVyODA2ODM3NDQ@._V1_FMjpg_UX576_.jpg,HINDI,https://yomovies.date/orange-2010-hindi-dubbed-Watch-online-full-movie/
6384,Current Theega (2014) Hindi Dubbed,IMDb: 5.5|2014|128 min,Action|Comedy|Dual Audio|Romance|South Special,2014,https://m.media-amazon.com/images/M/MV5BMTY2NTQ1NTM2M15BMl5BanBnXkFtZTgwOTY0NDQwNTE@._V1_FMjpg_UX375_.jpg,HINDI,https://yomovies.date/current-theega-2014-hindi-dubbed-Watch-online-full-movie/
4540,Angry Ganesha (Eluka Majaka) 2017 Hindi Dubbed,IMDb: 6.2|2016|132 min,Comedy|Dual Audio|South Special,2016,https://m.media-amazon.com/images/M/MV5BODFiOGYzMzgtOGE5YS00NmJjLWJmMmUtNTFlZTcwYzA5NzBkXkEyXkFqcGdeQXVyNjkwOTg4MTA@._V1_FMjpg_UX1000_.jpg,HINDI,https://yomovies.date/eluka-majaka-2017-hindi-dubbed-Watch-online-full-movie/
4464,Patel On Sale (Subramanyam For Sale) Hindi Dubbed,IMDb: 6.0|2015|150 min,Action|Comedy|Dual Audio|Family|Romance|South Special,2015,https://image.tmdb.org/t/p/w185/rYlpx9JjQw5TX0onVU31Seur9KX.jpg,HINDI,https://yomovies.date/patel-on-sale-subramanyam-for-sale-hindi-dubbed-Watch-online-full-movie/
4368,Jungbaaz (Naan Mahaan Alla) Hindi Dubbed,IMDb: 7.1|2010|132 min,Action|Crime|Drama|Dual Audio|South Special|Thriller,2010,https://m.media-amazon.com/images/M/MV5BMGM5ZDUxYmQtYTEwYS00Njk5LTk2MjUtY2Y1MWZlNjM3ZDU4XkEyXkFqcGdeQXVyNDY5MTUyNjU@._V1_FMjpg_UX373_.jpg,HINDI,https://yomovies.date/jungbaaz-naan-mahaan-alla-hindi-dubbed-Watch-online-full-movie/
4365,Sher (2015) Hindi Dubbed,IMDb: 4.9|2015|109 min,Action|Drama|Dual Audio|South Special,2015,https://m.media-amazon.com/images/M/MV5BMjA2YjI2M2UtMGQ2OC00YjI4LWFmOTgtMWZkYjMwNmQ3MWQzXkEyXkFqcGdeQXVyNDY5MTUyNjU@._V1_FMjpg_UX1000_.jpg,HINDI,https://yomovies.date/sher-2015-hindi-dubbed-Watch-online-full-movie/
4290,Geethanjali (2013) Hindi Dubbed,IMDb: 3.8|2013|150 min,Action|Dual Audio|Horror|Mystery|South Special|Thriller,2013,https://m.media-amazon.com/images/M/MV5BZWM4ODQ2MjEtYTVlZS00NzZmLWFlY2UtYTE5NTM2NjNkYzQxXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_FMjpg_UX550_.jpg,HINDI,https://yomovies.date/geethanjali-2013-hindi-dubbed-Watch-online-full-movie/
2121,Oka Laila Kosam (2014) Hindi Dubbed,IMDb: 6.1|2014|150 min,Action|Comedy|Dual Audio|Romance|South Special,2014,https://images-na.ssl-images-amazon.com/images/I/81mqoPMZaWL._RI_.jpg,HINDI,https://yomovies.date/oka-laila-kosam-2014-hindi-dubbed-Watch-online-full-movie/
959,Ekkadiki Pothavu Chinnavada (2016) Hindi Dubbed,IMDb: 7.5|2016|140 min,Comedy|Dual Audio|Fantasy|Romance|South Special|Thriller,2016,https://image.tmdb.org/t/p/w185/69rrWLMgP2o7WdDSh1F38RaXxBk.jpg,HINDI,https://yomovies.date/ekkadiki-pothavu-chinnavada-2016-hindi-dubbed-Watch-online-full-movie/
328385,Scavenger (2019) Hindi Dubbed,IMDb: 5.5|2019|73 min,Dual Audio|Erotic Movies|Science Fiction,2019,https://m.media-amazon.com/images/M/MV5BZTBhZGM3ZjMtYTRjYy00YWZiLWEwMDktNjgzNTZlNGRhYTBiXkEyXkFqcGdeQXVyMTIwOTIxMTg3._V1_FMjpg_UY711_.jpg,HINDI,https://yomovies.date/scavenger-2019-hindi-dubbed-Watch-online-full-movie/
302028,Jump In! (2007) Hindi Dubbed,IMDb: 5.4|2007|85 min,Comedy|Drama|Dual Audio|Romance,2007,https://m.media-amazon.com/images/M/MV5BZTIyMjNiMmQtYzk5Zi00MzZlLWFjZTItM2ZhNDUyZGRiZmQ5XkEyXkFqcGdeQXVyMTI0Mzk3NzEw._V1_.jpg,HINDI,https://yomovies.date/jump-in-2007-hindi-dubbed-Watch-online-full-movie/
