Auto_id,post_id,title,metadata,genres2,year,genres,image,quality,url
5680,30538,Stranger Things Season 1 Episode 1,Episode: 1|Air Date: 2016-07-15|,Stranger Things,,,https://image.tmdb.org/t/p/w185/xRTUb8oeQHGjyBWj7OOpkvUuvKO.jpg,Season 1,https://yomovies.hair/episode/stranger-things-season-1-episode-1/
5679,30539,Stranger Things Season 1 Episode 2,Episode: 2|Air Date: 2016-07-15|,Stranger Things,,,https://image.tmdb.org/t/p/w185/xRTUb8oeQHGjyBWj7OOpkvUuvKO.jpg,Season 1,https://yomovies.hair/episode/stranger-things-season-1-episode-2/
5678,30541,Stranger Things Season 1 Episode 4,Episode: 4|Air Date: 2016-07-15|,Stranger Things,,,https://image.tmdb.org/t/p/w185/xRTUb8oeQHGjyBWj7OOpkvUuvKO.jpg,Season 1,https://yomovies.hair/episode/stranger-things-season-1-episode-4/
5677,30540,Stranger Things Season 1 Episode 3,Episode: 3|Air Date: 2016-07-15|,Stranger Things,,,https://image.tmdb.org/t/p/w185/xRTUb8oeQHGjyBWj7OOpkvUuvKO.jpg,Season 1,https://yomovies.hair/episode/stranger-things-season-1-episode-3/
5676,30543,Stranger Things Season 1 Episode 6,Episode: 6|Air Date: 2016-07-15|,Stranger Things,,,https://image.tmdb.org/t/p/w185/xRTUb8oeQHGjyBWj7OOpkvUuvKO.jpg,Season 1,https://yomovies.hair/episode/stranger-things-season-1-episode-6/
5675,30542,Stranger Things Season 1 Episode 5,Episode: 5|Air Date: 2016-07-15|,Stranger Things,,,https://image.tmdb.org/t/p/w185/xRTUb8oeQHGjyBWj7OOpkvUuvKO.jpg,Season 1,https://yomovies.hair/episode/stranger-things-season-1-episode-5/
5674,30545,Stranger Things Season 1 Episode 8,Episode: 8|Air Date: 2016-07-15|,Stranger Things,,,https://image.tmdb.org/t/p/w185/xRTUb8oeQHGjyBWj7OOpkvUuvKO.jpg,Season 1,https://yomovies.hair/episode/stranger-things-season-1-episode-8/
5673,30544,Stranger Things Season 1 Episode 7,Episode: 7|Air Date: 2016-07-15|,Stranger Things,,,https://image.tmdb.org/t/p/w185/xRTUb8oeQHGjyBWj7OOpkvUuvKO.jpg,Season 1,https://yomovies.hair/episode/stranger-things-season-1-episode-7/
5672,30548,Stranger Things Season 2 Episode 1,Episode: 1|Air Date: 2017-10-27|,Stranger Things,,,https://image.tmdb.org/t/p/w185/lXS60geme1LlEob5Wgvj3KilClA.jpg,Season 2,https://yomovies.hair/episode/stranger-things-season-2-episode-1/
5671,30549,Stranger Things Season 2 Episode 2,Episode: 2|Air Date: 2017-10-27|,Stranger Things,,,https://image.tmdb.org/t/p/w185/lXS60geme1LlEob5Wgvj3KilClA.jpg,Season 2,https://yomovies.hair/episode/stranger-things-season-2-episode-2/
5670,30551,Stranger Things Season 2 Episode 4,Episode: 4|Air Date: 2017-10-27|,Stranger Things,,,https://image.tmdb.org/t/p/w185/lXS60geme1LlEob5Wgvj3KilClA.jpg,Season 2,https://yomovies.hair/episode/stranger-things-season-2-episode-4/
5669,30550,Stranger Things Season 2 Episode 3,Episode: 3|Air Date: 2017-10-27|,Stranger Things,,,https://image.tmdb.org/t/p/w185/lXS60geme1LlEob5Wgvj3KilClA.jpg,Season 2,https://yomovies.hair/episode/stranger-things-season-2-episode-3/
