Auto_id,post_id,title,metadata,genres2,year,genres,image,quality,url
4000,59445,Lupin the Third Season 2 Episode 20,Episode: 20|Air Date: 1978-02-20|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-20/
3999,59446,Lupin the Third Season 2 Episode 21,Episode: 21|Air Date: 1978-02-27|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-21/
3998,59448,Lupin the Third Season 2 Episode 23,Episode: 23|Air Date: 1978-03-13|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-23/
3997,59447,Lupin the Third Season 2 Episode 22,Episode: 22|Air Date: 1978-03-06|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-22/
3996,59450,Lupin the Third Season 2 Episode 25,Episode: 25|Air Date: 1978-03-27|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-25/
3995,59449,Lupin the Third Season 2 Episode 24,Episode: 24|Air Date: 1978-03-20|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-24/
3994,59452,Lupin the Third Season 2 Episode 27,Episode: 27|Air Date: 1978-04-10|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-27/
3993,59451,Lupin the Third Season 2 Episode 26,Episode: 26|Air Date: 1978-04-03|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-26/
3992,59454,Lupin the Third Season 2 Episode 29,Episode: 29|Air Date: 1978-04-24|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-29/
3991,59453,Lupin the Third Season 2 Episode 28,Episode: 28|Air Date: 1978-04-17|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-28/
3990,59456,Lupin the Third Season 2 Episode 31,Episode: 31|Air Date: 1978-05-08|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-31/
3989,59455,Lupin the Third Season 2 Episode 30,Episode: 30|Air Date: 1978-05-01|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-30/
3988,59458,Lupin the Third Season 2 Episode 33,Episode: 33|Air Date: 1978-05-22|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-33/
3987,59457,Lupin the Third Season 2 Episode 32,Episode: 32|Air Date: 1978-05-15|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-32/
3986,59459,Lupin the Third Season 2 Episode 34,Episode: 34|Air Date: 1978-05-29|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-34/
3985,59461,Lupin the Third Season 2 Episode 36,Episode: 36|Air Date: 1978-06-12|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-36/
3984,59460,Lupin the Third Season 2 Episode 35,Episode: 35|Air Date: 1978-06-05|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-35/
3983,59463,Lupin the Third Season 2 Episode 38,Episode: 38|Air Date: 1978-06-26|,Lupin the Third,,,https://image.tmdb.org/t/p/w185/eOgvv3vSNRCMnjCdBq4TbNVZ4kJ.jpg,Season 2,https://yomovies.hair/episode/lupin-the-third-season-2-episode-38/
